,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-31 12:30:00,372.3958,373.0300,371.6000,372.5700,149570,15
2018-08-31 12:15:00,372.6907,373.2300,371.9846,372.3200,147509,15
2018-08-31 12:00:00,372.1500,372.7100,370.8500,372.6393,202939,15
2018-08-31 11:45:00,372.3600,372.6946,371.6258,372.1300,215837,15
2018-08-31 11:30:00,374.0445,374.3500,372.4100,372.4100,208469,15
2018-08-31 11:15:00,373.9000,374.6700,373.6000,373.9340,172936,15
2018-08-31 11:00:00,375.1000,375.8600,373.4150,374.1900,368365,15
2018-08-31 10:45:00,373.7219,375.2100,373.7219,374.9800,284667,15
2018-08-31 10:30:00,374.1400,374.2300,373.3589,373.7803,217896,15
2018-08-31 10:15:00,374.7532,375.1300,373.7000,374.0600,453362,15
2018-08-31 10:00:00,373.0112,374.7060,373.0112,374.7060,360770,15
2018-08-31 09:45:00,374.8000,375.1500,372.4962,372.9700,471675,15
2018-08-31 09:30:00,370.4900,376.0000,370.4900,375.0300,867532,15
2018-08-30 15:45:00,370.5600,371.3400,370.5100,371.0900,475352,15
2018-08-30 15:30:00,370.9000,371.0900,370.5000,370.6000,298312,15
2018-08-30 15:15:00,369.3700,370.7800,368.8900,370.6950,231438,15
2018-08-30 15:00:00,368.9400,370.0895,367.2100,369.6100,478717,15
2018-08-30 14:45:00,370.6800,371.9200,368.8740,368.8740,304462,15
2018-08-30 14:30:00,370.9095,372.5200,370.5138,370.7700,268141,15
2018-08-30 14:15:00,373.9924,373.9924,369.6900,371.1100,517103,15
2018-08-30 14:00:00,373.4800,374.6200,373.0500,374.0000,204343,15
2018-08-30 13:45:00,374.4900,374.4900,372.8387,373.3600,314734,15
2018-08-30 13:30:00,376.5300,376.8085,374.0000,374.5200,399025,15
2018-08-30 13:15:00,374.2350,376.5900,374.2350,376.5000,356884,15
2018-08-30 13:00:00,374.8300,375.4500,373.9100,374.2900,545403,15
2018-08-30 12:45:00,374.0250,374.9500,373.5688,374.7731,361283,15
2018-08-30 12:30:00,373.3700,374.3500,373.2800,374.1200,289967,15
2018-08-30 12:15:00,372.4850,373.8102,372.3600,373.2700,296719,15
2018-08-30 12:00:00,371.1800,372.6000,371.1000,372.3500,201462,15
2018-08-30 11:45:00,371.6600,372.3100,371.2000,371.2000,224380,15
2018-08-30 11:30:00,372.2672,372.5653,370.8900,371.6610,303438,15
2018-08-30 11:15:00,371.5500,372.8449,371.3500,372.2700,355831,15
2018-08-30 11:00:00,372.7500,373.6000,371.0300,371.4648,576273,15
2018-08-30 10:45:00,373.2852,374.8900,372.4000,372.7100,689676,15
2018-08-30 10:30:00,369.4601,374.0650,369.4338,373.1000,1047642,15
2018-08-30 10:15:00,366.4400,369.5000,366.2000,369.5000,476650,15
2018-08-30 10:00:00,365.0800,366.4000,365.0800,366.3200,379156,15
2018-08-30 09:45:00,365.8000,367.5900,364.6600,365.1623,529751,15
2018-08-30 09:30:00,365.2300,367.8354,363.7100,365.4300,684140,15
2018-08-29 15:45:00,368.0000,368.6500,367.8100,368.0700,459309,15
2018-08-29 15:30:00,368.1300,368.7800,368.0200,368.0900,239404,15
2018-08-29 15:15:00,368.6000,368.7300,367.7536,368.1305,147033,15
2018-08-29 15:00:00,368.0000,368.6800,368.0000,368.5900,155799,15
2018-08-29 14:45:00,367.1200,368.1600,367.1200,367.9500,119405,15
2018-08-29 14:30:00,367.1400,367.5000,366.7500,367.1722,179324,15
2018-08-29 14:15:00,368.4400,368.4700,367.0894,367.1700,142113,15
